Issues,Relationship,Link Issues
HADOOP-17789,relates to,HADOOP-17774
HADOOP-17787,is related to,HADOOP-17798
HADOOP-17784,causes,HADOOP-18168
HADOOP-17784,is related to,SPARK-36024
HADOOP-17783,duplicates,HADOOP-17283
HADOOP-17779,is caused by,HADOOP-17313
HADOOP-17774,is caused by,HADOOP-17271
HADOOP-17774,is related to,HADOOP-17789
HADOOP-17773,is fixed by,HADOOP-17612
HADOOP-17772,relates to,HADOOP-17691
HADOOP-17771,causes,FLINK-23722
HADOOP-17771,is caused by,HADOOP-13551
HADOOP-17771,is related to,SPARK-35878
HADOOP-17769,fixes,HDFS-15940
HADOOP-17769,fixes,HDFS-16072
HADOOP-17769,is caused by,HADOOP-17602
HADOOP-17764,is depended upon by,HADOOP-17812
HADOOP-17764,relates to,HADOOP-15541
HADOOP-17762,is fixed by,INFRA-22020
HADOOP-17759,is blocked by,HDFS-14829
HADOOP-17758,is caused by,HADOOP-17728
HADOOP-17757,is blocked by,HADOOP-17752
HADOOP-17757,is blocked by,HADOOP-17754
HADOOP-17756,relates to,HADOOP-17090
HADOOP-17755,duplicates,HADOOP-16109
HADOOP-17755,Testing discovered,HADOOP-17789
HADOOP-17754,blocks,HADOOP-17757
HADOOP-17753,is part of,HADOOP-17098
HADOOP-17753,is related to,HADOOP-17152
HADOOP-17752,blocks,HADOOP-17757
HADOOP-17750,is caused by,HADOOP-17727
HADOOP-17750,is related to,HADOOP-17978
HADOOP-17744,is depended upon by,SPARK-34298
HADOOP-17743,is part of,HADOOP-17098
HADOOP-17743,is related to,HADOOP-17152
HADOOP-17740,is caused by,HADOOP-17718
HADOOP-17736,supercedes,HADOOP-15763
HADOOP-17735,is related to,HADOOP-17343
HADOOP-17735,is related to,HBASE-27042
HADOOP-17733,is related to,HADOOP-17730
HADOOP-17730,is related to,YARN-10195
HADOOP-17730,relates to,HADOOP-17733
HADOOP-17728,causes,HADOOP-17758
HADOOP-17727,causes,HADOOP-17750
HADOOP-17726,is related to,HADOOP-17115
HADOOP-17726,is related to,HADOOP-17720
HADOOP-17726,is related to,HADOOP-17721
HADOOP-17726,is related to,HADOOP-17722
HADOOP-17722,relates to,HADOOP-17726
HADOOP-17721,relates to,HADOOP-17726
HADOOP-17720,relates to,HADOOP-17726
HADOOP-17719,is related to,HDFS-13916
HADOOP-17718,causes,HADOOP-17740
HADOOP-17709,is fixed by,HADOOP-12502
HADOOP-17709,relates to,TEZ-4296
HADOOP-17705,is depended upon by,HADOOP-15603
HADOOP-17705,is depended upon by,HADOOP-17677
HADOOP-17705,is required by,HADOOP-18338
HADOOP-17704,relates to,HADOOP-17671
HADOOP-17702,is broken by,HADOOP-17065
HADOOP-17702,relates to,HADOOP-17671
HADOOP-17696,blocks,HADOOP-17666
HADOOP-17695,is caused by,HADOOP-17281
HADOOP-17691,is related to,HADOOP-17772
HADOOP-17691,relates to,HADOOP-17687
HADOOP-17691,relates to,MAPREDUCE-7341
HADOOP-17691,relates to,HADOOP-18013
HADOOP-17687,is related to,HADOOP-17691
HADOOP-17684,is caused by,HADOOP-17602
HADOOP-17683,breaks,MAPREDUCE-7348
HADOOP-17683,is related to,HADOOP-17972
HADOOP-17682,relates to,HADOOP-16202
HADOOP-17678,relates to,HDFS-15971
HADOOP-17677,depends upon,HADOOP-17705
HADOOP-17676,relates to,HADOOP-17653
HADOOP-17674,is broken by,HADOOP-16870
HADOOP-17671,is related to,HADOOP-17702
HADOOP-17671,is related to,YARN-10772
HADOOP-17671,is related to,HADOOP-17704
HADOOP-17671,is related to,HDFS-16027
HADOOP-17671,is related to,HADOOP-16916
HADOOP-17671,is related to,HADOOP-17065
HADOOP-17671,is related to,HDFS-15245
HADOOP-17671,is related to,HDFS-15975
HADOOP-17666,is blocked by,HADOOP-17696
HADOOP-17661,blocks,HADOOP-17647
HADOOP-17658,relates to,HADOOP-17647
HADOOP-17657,is required by,TEZ-4305
HADOOP-17655,is broken by,HADOOP-17625
HADOOP-17655,is broken by,HADOOP-17627
HADOOP-17655,is broken by,HADOOP-17651
HADOOP-17655,is related to,HADOOP-17796
HADOOP-17654,is depended upon by,HADOOP-17512
HADOOP-17653,is related to,HADOOP-18036
HADOOP-17653,is related to,HADOOP-17676
HADOOP-17652,is caused by,HADOOP-17002
HADOOP-17651,breaks,HADOOP-17655
HADOOP-17651,is a clone of,HADOOP-17627
HADOOP-17650,is depended upon by,HADOOP-18198
HADOOP-17650,is related to,YARN-11068
HADOOP-17648,blocks,HADOOP-17426
HADOOP-17648,relates to,HADOOP-18086
HADOOP-17647,is blocked by,HADOOP-17644
HADOOP-17647,is blocked by,HADOOP-17661
HADOOP-17647,is blocked by,HDFS-15995
HADOOP-17647,is blocked by,YARN-10752
HADOOP-17647,is depended upon by,HDDS-3292
HADOOP-17647,is related to,HADOOP-17426
HADOOP-17647,is related to,HADOOP-17658
HADOOP-17644,blocks,HADOOP-17647
HADOOP-17644,is broken by,HADOOP-17432
HADOOP-17642,is related to,HADOOP-17524
HADOOP-17640,relates to,HADOOP-16479
HADOOP-17638,is broken by,HADOOP-14405
HADOOP-17635,is related to,HADOOP-17507
HADOOP-17633,is related to,HADOOP-17844
HADOOP-17632,duplicates,HADOOP-16206
HADOOP-17631,blocks,HADOOP-17386
HADOOP-17631,is related to,HADOOP-18313
HADOOP-17631,relates to,HADOOP-9642
HADOOP-17628,is caused by,HADOOP-17531
HADOOP-17628,is caused by,HADOOP-17620
HADOOP-17627,breaks,HADOOP-17655
HADOOP-17627,is cloned by,HADOOP-17651
HADOOP-17627,relates to,HADOOP-17371
HADOOP-17625,breaks,HADOOP-17655
HADOOP-17625,relates to,HADOOP-17371
HADOOP-17624,depends upon,HDFS-12517
